subset,parameter,volume_method,coef_a,coef_b,coef_c,r2,rmse,rrmse,equation,avg_vol,mean
tomato,aboveground_veg_biomass,convh_vol,383.82,-0.1,NA,0.917,58.53,0.36,linear,0.403492398,154.7684521
tomato,leaf_biomass,convh_vol,170.52,-3.69,NA,0.957,18.36,0.267,linear,0.403492398,65.11352365
tomato,leaf_no,convh_vol,"1,002.74",-43.98,NA,0.958,106.68,0.28,linear,0.403492398,360.6179668
tomato,shoot_biomass,convh_vol,213.31,3.59,NA,0.869,41.44,0.441,linear,0.403492398,89.65896335
tomato,shoot_no,convh_vol,48.59,1.27,NA,0.954,5.44,0.249,linear,0.403492398,20.8756956
watermelon,aboveground_veg_biomass,voxel_vol_02,"2,057.01",-6.59,NA,0.983,36.12,0.162,linear,0.1118888,223.5663805
watermelon,leaf_biomass,voxel_vol_02,972.0237,0.879008879,-7.122123288,0.988,16.14,0.132,power,0.1118888,134.64
watermelon,leaf_no,convh_vol,457.28,3.89,-3.74,0.978,65,0.171,log,0.74000223,265.449745
watermelon,shoot_biomass,voxel_vol_02,946.75,-5,NA,0.961,25.64,0.254,linear,0.1118888,100.9307214
watermelon,shoot_no,voxel_vol_005,"2,321.62",1.34,NA,0.963,4.32,0.213,linear,0.008186267,20.34540042
