plot_id,species,date,cultivar,init_lwad,init_swad,init_l#,init_s#,gt_lwad,gt_swad,gt_l#,get_s#,dif_lwad,dif_swad,dif_l#,dif_s#
10,watermelon,09/14/2023,Sugar Baby,237.15146020993248,192.349141,769.8647491467356,60.202995692276744,245.22,213.41,834,28,8.06853979,21.06085904,64.13525085,-32.20299569
11,watermelon,09/14/2023,Mambo,405.96330977887953,350.89678319999996,1139.703443219369,65.27911710000757,404.11,370.65,1142,54,-1.853309779,19.7532168,2.296556781,-11.2791171
12,watermelon,06/24/2023,Sugar Baby,-4.940661712,-3.97719464,8.158217349504707,17.362885589510938,1.15,0.73,17,4,6.090661712,4.70719464,8.84178265,-13.36288559
13,watermelon,08/02/2023,Mambo,280.5474122921019,232.09981992000002,870.1615094102848,61.782264902414965,253.83,179.79,758,61,-26.71741229,-52.30981992,-112.1615094,-0.782264902
14,watermelon,08/02/2023,Sugar Baby,271.4938854307524,223.7416348,849.5935705204498,61.47337381656462,293.97,231.08,894,41,22.47611457,7.3383652,44.40642948,-20.47337382
15,watermelon,06/24/2023,Mambo,3.544189557652234,0.9603539200000002,61.31629578993416,30.511007380477125,3.13,2.78,90,18,-0.414189558,1.81964608,28.68370421,-12.51100738
17,tomato,08/02/2023,German Johnson,52.712265984142334,75.10081187,314.5417769296454,20.89586543879045,31.54,35.01,230,14,-21.17226598,-40.09081187,-84.54177693,-6.895865439
18,tomato,07/07/2023,German Johnson,12.176222000800001,24.67340223,83.39355007,10.24325951,8.79,9.15,97,9,-3.386222001,-15.52340223,13.60644993,-1.243259514
19,tomato,09/01/2023,German Johnson,220.99344190198434,284.44496487313756,1274.12963,65.1190524,197.67,222.02,1382,66,-23.3234419,-62.42496487,107.8703698,0.880947603
20,tomato,10/02/2023,German Johnson,301.35753667406146,384.41903065826017,1732.388902347918,86.23820828793703,315.53,408.54,1685,86,14.17246333,24.12096934,-47.38890235,-0.238208288
21,tomato,06/11/2023,Big Beef,7.856174233600001,19.299201960319998,58.759390361280005,9.107979356,7.01,6.4,87,4,-0.846174234,-12.89920196,28.24060964,-5.107979356
22,watermelon,06/18/2023,Sugar Baby,13.539970962228768,7.437568160000001,110.55736756891854,36.59911766893704,11.35,4.92,109,41,-2.189970962,-2.51756816,-1.557367569,4.400882331
24,watermelon,06/18/2023,Mambo,13.539970962228768,7.437568160000001,110.55736756891854,36.59911766893704,8.99,3.55,96,39,-4.549970962,-3.88756816,-14.55736757,2.400882331
02,tomato,06/24/2023,Red Deuce,27.160170646249174,43.31364538492899,168.83635159531065,14.180942732036607,17.23,23.21,111,11,-9.930170646,-20.10364538,-57.8363516,-3.180942732
05,tomato,09/01/2023,Big Beef,110.9508428,147.55042170816134,646.6349573599826,36.20058064011447,144.4,211.39,775,40,33.44915719,63.83957829,128.3650426,3.79941936
06,tomato,09/01/2023,Red Deuce,102.599817,137.16162803999543,599.0149972526765,34.00598595919896,85.12,114.06,373,23,-17.47981705,-23.10162804,-226.0149973,-11.00598596
07,tomato,08/02/2023,Big Beef,69.35916281775701,95.80978599828715,409.46718917329787,25.270560510441072,72.33,147.52,499,35,2.970837182,51.710214,89.53281083,9.72943949
08,tomato,08/02/2023,Red Deuce,37.52565399927451,56.208452668815795,227.9433305250884,16.904923627274137,48.11,94.78,176,22,10.584346,38.57154733,-51.94333053,5.095076373
09,tomato,06/24/2023,Big Beef,22.876004690131058,37.98408259515247,144.40680033603078,13.055092077606037,26.96,37.04,164,21,4.08399531,-0.944082595,19.59319966,7.944907922
ta_Big_Beef_Day_Zero,tomato,05/25/2023,Big Beef,0.5427639399222892,10.201216549206142,17.056213248264612,7.1860632,3.64,3.94,22,3,3.09723606,-6.261216549,4.943786752,-4.1860632
ta_German_Johnson_Day_Zero,tomato,06/20/2023,German Johnson,-2.474099646,6.448195758,-0.146813983,6.393251278579999,1.4,1.6,60,8,3.874099646,-4.848195758,60.14681398,1.606748721
ta_Mambo_Day_Zero,watermelon,06/01/2023,Mambo,-1.229672392,-1.91419432,33.72776368677323,25.27062453878675,1.81,1.42,18,3,3.039672392,3.33419432,-15.72776369,-22.27062454
ta_Red_Deuce_Day_Zero,tomato,05/25/2023,Red Deuce,-2.65565863,6.222333824,-1.182115736,6.345538770719999,1.26,2.03,41,4,3.91565863,-4.192333824,42.18211574,-2.345538771
ta_Sugar_Baby_Day_Zero,watermelon,06/01/2023,Sugar Baby,-2.205801337,-2.47545176,27.496243346637808,23.733223369465435,1.11,1.35,38,4,3.315801337,3.82545176,10.50375665,-19.73322337
