Sample ID,Plant ID,Cultivar,Species,Sampling Age,Sampling Date,Leaf No,Stem No,Leaves Per Stem,Flower No,Total Fruit No,SLA,Leaf Biomass,Shoot Biomass,Flower Biomass,Ripe Fruit No,Ripe Fruit Biomass,Total Fruit Biomass,Aboveground Biomass,true_ground_area,L#PA,Unripe Fruit No,Unripe Fruit Biomass
ta_Big_Beef_Day_Zero,Transplant-Aged Big Beef Tomato,Big Beef,Tomato,0,NA,12,1,12,3,0,99.24,3.64,3.94,0,0,0,0,7.58,0.9272,12.94219154,0,0
gp_21_07_07_2023,21,Big Beef,Tomato,2,7/7/2023,22,4,5.5,13,1,109.93,7.01,6.4,0.69,0,0,4.8,13.41,0.9272,23.72735116,1,4.8
gp_09_06_24_2023,9,Big Beef,Tomato,5,6/25/2023,26,4,6.5,41,6,281.14,26.96,37.04,0.33,0,0,7.72,64,0.9272,28.04141501,6,7.72
gp_07_08_02_2023,7,Big Beef,Tomato,10,8/3/2023,499,35,14.25714286,46,45,87.05,72.33,147.52,0.52,5,68.61,85.62,219.85,0.9272,538.1794651,40,17.01
gp_05_09_01_2023,5,Big Beef,Tomato,15,9/1/2023,775,40,19.375,28,62,158.14,144.4,211.39,0.86,12,113.5,404.56,355.79,0.9272,835.8498706,50,291.06
ta_German_Johnson_Day_Zero,Transplant-Aged German Johnson Tomato,German Johnson,Tomato,0,NA,11,1,11,11,0,220.56,1.4,1.6,0.16,0,0,0,3,0.9272,11.86367558,0,0
gp_18_07_07_2023,18,German Johnson,Tomato,2,7/7/2023,16,3,5.333333333,59,0,151.17,8.79,9.15,1.12,0,0,0,17.94,0.9272,17.25625539,0,0
gp_17_08_02_2023,17,German Johnson,Tomato,5,8/3/2023,230,14,16.42857143,24,16,243,31.54,35.01,0.32,0,0,42.91,66.55,0.9272,248.0586713,16,42.91
gp_19_09_01_2023,19,German Johnson,Tomato,10,9/1/2023,1382,66,20.93939394,47,69,222.35,197.67,222.02,1.01,10,140.41,359.03,419.69,0.9272,1490.50906,59,218.62
gp_20_10_02_2023,20,German Johnson,Tomato,15,10/2/2023,1685,86,19.59302326,180,68,264.82,315.53,408.54,2.64,38,578.16,827.49,724.07,0.9272,1817.299396,30,249.33
ta_Mambo_Day_Zero,Transplant-Aged Mambo Watermelon,Mambo,Watermelon,0,NA,15,2,7.5,0,0,257.19,1.81,1.42,0,0,0,0,3.23,2.9768,5.038968019,0,0
gp_24_07_07_2023,24,Mambo,Watermelon,2,7/7/2023,43,4,10.75,18,0,128.45,8.99,3.55,0.25,0,0,0,12.54,2.9768,14.44504166,0,0
gp_15_06_24_2023,15,Mambo,Watermelon,4,6/25/2023,34,3,11.33333333,4,0,110.5,3.13,2.78,0.06,0,0,0,5.91,2.9768,11.42166084,0,0
gp_13_08_02_2023,13,Mambo,Watermelon,9,8/3/2023,758,61,12.42622951,87,21,151.78,253.83,179.79,1.4,7,830.75,863.28,433.62,2.9768,254.6358506,14,32.53
gp_11_09_14_2023,11,Mambo,Watermelon,15,9/14/2023,1142,54,21.14814815,47,20,161.93,404.11,370.65,1.19,7,2024.03,2803.48,774.76,9.097427334,125.5299941,13,779.45
ta_Red_Deuce_Day_Zero,Transplant-Aged Red Deuce Tomato,Red Deuce,Tomato,0,NA,14,3,4.666666667,5,1,240.22,1.26,2.03,0.02,0,0,3.73,3.29,0.9272,15.09922347,1,3.73
gp_02_06_24_2023,2,Red Deuce,Tomato,5,6/25/2023,111,11,10.09090909,52,4,320.6,17.23,23.21,0.15,0,0,2.99,40.44,0.9272,119.7152718,4,2.99
gp_08_08_02_2023,8,Red Deuce,Tomato,10,8/3/2023,176,15,11.73333333,97,52,308.61,48.11,94.78,1.72,5,55.69,153.99,142.89,1.147334393,153.3990448,47,98.3
gp_06_09_01_2023,6,Red Deuce,Tomato,15,9/1/2023,373,23,16.2173913,57,52,182.85,85.12,114.06,1.91,5,42.02,256.34,199.18,2.383295326,156.5059923,47,214.32
ta_Sugar_Baby_Day_Zero,Transplant-Aged Sugar Baby Watermelon,Sugar Baby,Watermelon,0,NA,21,4,5.25,1,0,371.75,1.11,1.35,0.01,0,0,0,2.46,2.9768,7.054555227,0,0
gp_22_07_07_2023,22,Sugar Baby,Watermelon,2,7/7/2023,43,4,10.75,39,0,143.13,11.35,4.92,0.81,0,0,0,16.27,2.9768,14.44504166,0,0
gp_12_06_24_2023,12,Sugar Baby,Watermelon,4,6/25/2023,11,2,5.5,0,0,297.63,1.15,0.73,0,0,0,0,1.88,2.9768,3.695243214,0,0
gp_14_08_02_2023,14,Sugar Baby,Watermelon,9,8/3/2023,894,41,21.80487805,48,19,127.87,293.97,231.08,0.81,3,329.32,384.53,525.05,6.699895235,133.4349223,16,55.21
gp_10_09_14_2023,10,Sugar Baby,Watermelon,15,9/14/2023,834,28,29.78571429,12,11,179.05,245.22,213.41,0.55,1,249.33,853.27,458.63,5.02070554,166.1121118,10,603.94
