Sample ID,Plant ID,Cultivar,Species,Sampling Age,Leaf No,Stem No,Leaf Biomass,Stem Biomass
ta_Big_Beef_Day_Zero,Transplant-Aged Big Beef Tomato,Big Beef,Tomato,0,12,1,3.64,3.94
gp_21_07_07_2023,21,Big Beef,Tomato,2,22,4,7.01,6.4
gp_09_06_24_2023,9,Big Beef,Tomato,5,26,4,26.96,37.04
gp_07_08_02_2023,7,Big Beef,Tomato,10,499,35,72.33,147.52
gp_05_09_01_2023,5,Big Beef,Tomato,15,775,40,144.4,211.39
ta_German_Johnson_Day_Zero,Transplant-Aged German Johnson Tomato,German Johnson,Tomato,0,11,1,1.4,1.6
gp_18_07_07_2023,18,German Johnson,Tomato,2,16,3,8.79,9.15
gp_17_08_02_2023,17,German Johnson,Tomato,5,230,14,31.54,35.01
gp_19_09_01_2023,19,German Johnson,Tomato,10,1382,66,197.67,222.02
gp_20_10_02_2023,20,German Johnson,Tomato,15,1685,86,315.53,408.54
ta_Red_Deuce_Day_Zero,Transplant-Aged Red Deuce Tomato,Red Deuce,Tomato,0,14,3,1.26,2.03
gp_02_06_24_2023,2,Red Deuce,Tomato,5,111,11,17.23,23.21
gp_08_08_02_2023,8,Red Deuce,Tomato,10,176,15,48.11,94.78
gp_06_09_01_2023,6,Red Deuce,Tomato,15,373,23,85.12,114.06
ta_Mambo_Day_Zero,Transplant-Aged Mambo Watermelon,Mambo,Watermelon,0,15,2,1.81,1.42
gp_24_07_07_2023,24,Mambo,Watermelon,2,43,4,8.99,3.55
gp_15_06_24_2023,15,Mambo,Watermelon,5,34,3,3.13,2.78
gp_13_08_02_2023,13,Mambo,Watermelon,10,758,61,253.83,179.79
gp_11_09_14_2023,11,Mambo,Watermelon,15,1142,54,404.11,370.65
ta_Sugar_Baby_Day_Zero,Transplant-Aged Sugar Baby Watermelon,Sugar Baby,Watermelon,0,21,4,1.11,1.35
gp_22_07_07_2023,22,Sugar Baby,Watermelon,2,43,4,11.35,4.92
gp_12_06_24_2023,12,Sugar Baby,Watermelon,5,11,2,1.15,0.73
gp_14_08_02_2023,14,Sugar Baby,Watermelon,10,894,41,293.97,231.08
gp_10_09_14_2023,10,Sugar Baby,Watermelon,15,834,28,245.22,213.41
