subset,mean_iou,std_iou
Garden_Plots,0.8338948481063861,0.14635080899043665
Tomato_Fertilizer_Trial,0.8529665749342754,0.0836929663863676
Watermelon_Variety_Trial,0.9211418915465506,0.04406191240539008
Pepper_Variety_Trial,0.9325701521606627,0.028833580849509422
0-20%: 0.0-0.083,0.8251702287129694,0.17410412446867304
60-80%: 0.778-1.415,0.9131542857277938,0.040451383831671385
80-100%: 1.421-17.961,0.9192526243683118,0.036935840654640104
20-40%: 0.088-0.487,0.8853970365240668,0.0748330954323729
40-60%: 0.488-0.768,0.8864647301376957,0.06264961864327406
watermelon,0.8551943557675735,0.14267403035212387
tomato,0.863254176939285,0.09259427473579042
pepper,0.9325701521606627,0.028833580849509422
total,0.8858877810941675,0.09836834219721596
