species,sampling_age,voxel_vol_02,voxel_vol_01,voxel_vol_005,voxel_vol_002,voxel_vol_001,convh_vol
tomato,0,0.004730666666666667,0.0016533333333333333,0.0005393333333333333,0.00012884533333333334,3.869433333333333e-05,0.012095081543169033
tomato,2,0.028936,0.010664,0.00350925,0.000791192,0.000207171,0.0925247773879593
tomato,5,0.052128,0.01790366666666667,0.005082083333333333,0.0007154666666666667,0.00013715333333333334,0.22206267863951987
tomato,10,0.145664,0.04781199999999999,0.011174625,0.001064784,0.00015699566666666667,0.662457470107621
tomato,15,0.22243199999999996,0.07466533333333333,0.017648041666666666,0.0015656986666666664,0.0002184046666666667,1.0283219807000927
watermelon,0,0.0033280000000000002,0.0011575000000000001,0.000377,9.1176e-05,2.7885500000000003e-05,0.00856365523993835
watermelon,2,0.013872,0.004618666666666667,0.0013563333333333333,0.0002805866666666667,7.5973e-05,0.048523934458684075
watermelon,4,0.004052,0.0013785,0.000426625,9.3144e-05,2.59555e-05,0.01269613953992585
watermelon,9,0.246048,0.0814805,0.0221839375,0.00294984,0.000462718,1.6318866158529604
watermelon,15,0.29214399999999996,0.0877615,0.0165874375,0.001332116,0.00017991950000000002,1.9983408039937958
